"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","30-Sep-2016","28-Sep-2017","PE","9000","0","0","0","436.8","0","414.4","0","0","0","0","0","8611.15"
"NIFTY","03-Oct-2016","28-Sep-2017","PE","9000","0","0","0","436.8","0","400.3","0","0","0","0","0","8738.1"
"NIFTY","04-Oct-2016","28-Sep-2017","PE","9000","0","0","0","436.8","0","376.35","0","0","0","0","0","8769.15"
"NIFTY","05-Oct-2016","28-Sep-2017","PE","9000","0","0","0","436.8","0","377.25","0","0","0","0","0","8743.95"
"NIFTY","06-Oct-2016","28-Sep-2017","PE","9000","0","0","0","436.8","0","379.15","0","0","0","0","0","8709.55"
"NIFTY","07-Oct-2016","28-Sep-2017","PE","9000","0","0","0","436.8","0","370.05","0","0","0","0","0","8697.6"
"NIFTY","10-Oct-2016","28-Sep-2017","PE","9000","0","0","0","436.8","0","352","0","0","0","0","0","8708.8"
"NIFTY","13-Oct-2016","28-Sep-2017","PE","9000","0","0","0","436.8","0","454.05","0","0","0","0","0","8573.35"
"NIFTY","14-Oct-2016","28-Sep-2017","PE","9000","0","0","0","436.8","0","435","0","0","0","0","0","8583.4"
"NIFTY","17-Oct-2016","28-Sep-2017","PE","9000","0","0","0","436.8","0","461.2","0","0","0","0","0","8520.4"
"NIFTY","18-Oct-2016","28-Sep-2017","PE","9000","0","0","0","436.8","0","453.85","0","0","0","0","0","8677.9"
"NIFTY","19-Oct-2016","28-Sep-2017","PE","9000","0","0","0","436.8","0","445","0","0","0","0","0","8659.1"
"NIFTY","20-Oct-2016","28-Sep-2017","PE","9000","0","0","0","436.8","0","417.35","0","0","0","0","0","8699.4"
"NIFTY","21-Oct-2016","28-Sep-2017","PE","9000","0","0","0","436.8","0","403.55","0","0","0","0","0","8693.05"
"NIFTY","24-Oct-2016","28-Sep-2017","PE","9000","0","0","0","436.8","0","382.3","0","0","0","0","0","8708.95"
"NIFTY","25-Oct-2016","28-Sep-2017","PE","9000","0","0","0","436.8","0","375.4","0","0","0","0","0","8691.3"
"NIFTY","26-Oct-2016","28-Sep-2017","PE","9000","0","0","0","436.8","0","411.05","0","0","0","0","0","8615.25"
"NIFTY","27-Oct-2016","28-Sep-2017","PE","9000","0","0","0","436.8","0","396.5","0","0","0","0","0","8615.25"
"NIFTY","28-Oct-2016","28-Sep-2017","PE","9000","0","0","0","436.8","0","374.8","0","0","0","0","0","8638"
