"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","29-Mar-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2456.8","0","0","0","0","0","7597"
"NIFTY","30-Mar-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2365.15","0","0","0","0","0","7735.2"
"NIFTY","31-Mar-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2361.7","0","0","0","0","0","7738.4"
"NIFTY","01-Apr-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2371.3","0","0","0","0","0","7713.05"
"NIFTY","04-Apr-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2401.8","0","0","0","0","0","7758.8"
"NIFTY","05-Apr-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2596.1","0","0","0","0","0","7603.2"
"NIFTY","06-Apr-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2576.2","0","0","0","0","0","7614.35"
"NIFTY","07-Apr-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2632.2","0","0","0","0","0","7546.45"
"NIFTY","08-Apr-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2615.05","0","0","0","0","0","7555.2"
"NIFTY","11-Apr-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2528.7","0","0","0","0","0","7671.4"
"NIFTY","12-Apr-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2487","0","0","0","0","0","7708.95"
"NIFTY","13-Apr-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2390.1","0","0","0","0","0","7850.45"
"NIFTY","18-Apr-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2334.15","0","0","0","0","0","7914.7"
"NIFTY","20-Apr-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2323.25","0","0","0","0","0","7914.75"
"NIFTY","21-Apr-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2310.2","0","0","0","0","0","7912.05"
"NIFTY","22-Apr-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2310.4","0","0","0","0","0","7899.3"
"NIFTY","25-Apr-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2344.85","0","0","0","0","0","7855.05"
"NIFTY","26-Apr-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2257.2","0","0","0","0","0","7962.65"
"NIFTY","27-Apr-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2231.25","0","0","0","0","0","7979.9"
"NIFTY","28-Apr-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2367.2","0","0","0","0","0","7847.25"
"NIFTY","29-Apr-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2352.7","0","0","0","0","0","7849.8"
"NIFTY","02-May-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2387.1","0","0","0","0","0","7805.9"
"NIFTY","03-May-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2434.5","0","0","0","0","0","7747"
"NIFTY","04-May-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2463.8","0","0","0","0","0","7706.55"
"NIFTY","05-May-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2436.85","0","0","0","0","0","7735.5"
"NIFTY","06-May-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2435.1","0","0","0","0","0","7733.45"
"NIFTY","09-May-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2341.15","0","0","0","0","0","7866.05"
"NIFTY","10-May-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2314.8","0","0","0","0","0","7887.8"
"NIFTY","11-May-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2344.75","0","0","0","0","0","7848.85"
"NIFTY","12-May-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2292.85","0","0","0","0","0","7900.4"
"NIFTY","13-May-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2374.6","0","0","0","0","0","7814.9"
"NIFTY","16-May-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2332.35","0","0","0","0","0","7860.75"
"NIFTY","17-May-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2299.65","0","0","0","0","0","7890.75"
"NIFTY","18-May-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2317.95","0","0","0","0","0","7870.15"
"NIFTY","19-May-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2406.6","0","0","0","0","0","7783.4"
"NIFTY","20-May-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2435","0","0","0","0","0","7749.7"
"NIFTY","23-May-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2454.05","0","0","0","0","0","7731.05"
"NIFTY","24-May-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2435.85","0","0","0","0","0","7748.85"
"NIFTY","25-May-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2310.25","0","0","0","0","0","7934.9"
"NIFTY","26-May-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2218.35","0","0","0","0","0","8069.65"
"NIFTY","27-May-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2144.7","0","0","0","0","0","8156.65"
"NIFTY","30-May-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2120.35","0","0","0","0","0","8178.5"
"NIFTY","31-May-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2125.9","0","0","0","0","0","8160.1"
"NIFTY","01-Jun-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2102.95","0","0","0","0","0","8179.95"
"NIFTY","02-Jun-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2061.05","0","0","0","0","0","8218.95"
"NIFTY","03-Jun-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2050.75","0","0","0","0","0","8220.8"
"NIFTY","06-Jun-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2063.9","0","0","0","0","0","8201.05"
"NIFTY","07-Jun-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2009.4","0","0","0","0","0","8266.45"
"NIFTY","08-Jun-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1998.4","0","0","0","0","0","8273.05"
"NIFTY","09-Jun-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2062.4","0","0","0","0","0","8203.6"
"NIFTY","10-Jun-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2089.45","0","0","0","0","0","8170.05"
"NIFTY","13-Jun-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2147.8","0","0","0","0","0","8110.6"
"NIFTY","14-Jun-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2140.1","0","0","0","0","0","8108.85"
"NIFTY","15-Jun-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2059.4","0","0","0","0","0","8206.6"
"NIFTY","16-Jun-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2122.2","0","0","0","0","0","8140.75"
"NIFTY","17-Jun-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2089.95","0","0","0","0","0","8170.2"
"NIFTY","20-Jun-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2034.05","0","0","0","0","0","8238.5"
"NIFTY","21-Jun-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2046.75","0","0","0","0","0","8219.9"
"NIFTY","22-Jun-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2063.95","0","0","0","0","0","8203.7"
"NIFTY","23-Jun-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2006.9","0","0","0","0","0","8270.45"
"NIFTY","24-Jun-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2215.6","0","0","0","0","0","8088.6"
"NIFTY","27-Jun-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2207.85","0","0","0","0","0","8094.7"
"NIFTY","28-Jun-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2169.95","0","0","0","0","0","8127.85"
"NIFTY","29-Jun-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2103.2","0","0","0","0","0","8204"
"NIFTY","30-Jun-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","2032.15","0","0","0","0","0","8287.75"
"NIFTY","01-Jul-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1993.9","0","0","0","0","0","8328.35"
"NIFTY","04-Jul-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1960.1","0","0","0","0","0","8370.7"
"NIFTY","05-Jul-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1989.35","0","0","0","0","0","8335.95"
"NIFTY","07-Jul-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1984.5","0","0","0","0","0","8337.9"
"NIFTY","08-Jul-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1993.4","0","0","0","0","0","8323.2"
"NIFTY","11-Jul-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1898.35","0","0","0","0","0","8467.9"
"NIFTY","12-Jul-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1851.1","0","0","0","0","0","8521.05"
"NIFTY","13-Jul-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1844.9","0","0","0","0","0","8519.5"
"NIFTY","14-Jul-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1803.45","0","0","0","0","0","8565"
"NIFTY","15-Jul-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1818.55","0","0","0","0","0","8541.4"
"NIFTY","18-Jul-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1844.7","0","0","0","0","0","8508.7"
"NIFTY","19-Jul-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1820.5","0","0","0","0","0","8528.55"
"NIFTY","20-Jul-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1786.05","0","0","0","0","0","8565.85"
"NIFTY","21-Jul-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1838.75","0","0","0","0","0","8510.1"
"NIFTY","22-Jul-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1805.9","0","0","0","0","0","8541.2"
"NIFTY","25-Jul-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1732.45","0","0","0","0","0","8635.65"
"NIFTY","26-Jul-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1773.55","0","0","0","0","0","8590.65"
"NIFTY","27-Jul-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1747.4","0","0","0","0","0","8615.8"
"NIFTY","28-Jul-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1702.25","0","0","0","0","0","8666.3"
"NIFTY","29-Jul-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1724.5","0","0","0","0","0","8638.5"
"NIFTY","01-Aug-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1725.9","0","0","0","0","0","8636.55"
"NIFTY","02-Aug-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1737.6","0","0","0","0","0","8622.9"
"NIFTY","03-Aug-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1817.5","0","0","0","0","0","8544.85"
"NIFTY","04-Aug-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1808.6","0","0","0","0","0","8551.1"
"NIFTY","05-Aug-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1708.95","0","0","0","0","0","8683.15"
"NIFTY","08-Aug-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1682.25","0","0","0","0","0","8711.35"
"NIFTY","09-Aug-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1710.3","0","0","0","0","0","8678.25"
"NIFTY","10-Aug-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1815.45","0","0","0","0","0","8575.3"
"NIFTY","11-Aug-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1798.2","0","0","0","0","0","8592.15"
"NIFTY","12-Aug-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1730.6","0","0","0","0","0","8672.15"
"NIFTY","16-Aug-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1759.15","0","0","0","0","0","8642.55"
"NIFTY","17-Aug-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1773.2","0","0","0","0","0","8624.05"
"NIFTY","18-Aug-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1727.1","0","0","0","0","0","8673.25"
"NIFTY","19-Aug-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1729.9","0","0","0","0","0","8666.9"
"NIFTY","22-Aug-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1767.75","0","0","0","0","0","8629.15"
"NIFTY","23-Aug-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1762.6","0","0","0","0","0","8632.6"
"NIFTY","24-Aug-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1745.55","0","0","0","0","0","8650.3"
"NIFTY","25-Aug-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1801.35","0","0","0","0","0","8592.2"
"NIFTY","26-Aug-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1817.95","0","0","0","0","0","8572.55"
"NIFTY","29-Aug-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1788.55","0","0","0","0","0","8607.45"
"NIFTY","30-Aug-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1680.1","0","0","0","0","0","8744.35"
"NIFTY","31-Aug-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1643.2","0","0","0","0","0","8786.2"
"NIFTY","01-Sep-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1648.95","0","0","0","0","0","8774.65"
"NIFTY","02-Sep-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1613.9","0","0","0","0","0","8809.65"
"NIFTY","06-Sep-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1519.95","0","0","0","0","0","8943"
"NIFTY","07-Sep-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1537.45","0","0","0","0","0","8917.95"
"NIFTY","08-Sep-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1504.6","0","0","0","0","0","8952.5"
"NIFTY","09-Sep-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1590.05","0","0","0","0","0","8866.7"
"NIFTY","12-Sep-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1756.8","0","0","0","0","0","8715.6"
"NIFTY","14-Sep-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1743.95","0","0","0","0","0","8726.6"
"NIFTY","15-Sep-2016","29-Jun-2017","PE","11000","0","0","0","832.55","0","1725","0","0","0","0","0","8742.55"
