"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","29-Mar-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1687.7","0","0","0","0","0","7597"
"NIFTY","30-Mar-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1619.7","0","0","0","0","0","7735.2"
"NIFTY","31-Mar-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1608.65","0","0","0","0","0","7738.4"
"NIFTY","01-Apr-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1610.15","0","0","0","0","0","7713.05"
"NIFTY","04-Apr-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1626.85","0","0","0","0","0","7758.8"
"NIFTY","05-Apr-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1809.55","0","0","0","0","0","7603.2"
"NIFTY","06-Apr-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1784.75","0","0","0","0","0","7614.35"
"NIFTY","07-Apr-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1831.1","0","0","0","0","0","7546.45"
"NIFTY","08-Apr-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1809.15","0","0","0","0","0","7555.2"
"NIFTY","11-Apr-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1739.75","0","0","0","0","0","7671.4"
"NIFTY","12-Apr-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1697.85","0","0","0","0","0","7708.95"
"NIFTY","13-Apr-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1626.45","0","0","0","0","0","7850.45"
"NIFTY","18-Apr-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1573.8","0","0","0","0","0","7914.7"
"NIFTY","20-Apr-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1556.5","0","0","0","0","0","7914.75"
"NIFTY","21-Apr-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1538.05","0","0","0","0","0","7912.05"
"NIFTY","22-Apr-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1530.95","0","0","0","0","0","7899.3"
"NIFTY","25-Apr-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1554.55","0","0","0","0","0","7855.05"
"NIFTY","26-Apr-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1485.6","0","0","0","0","0","7962.65"
"NIFTY","27-Apr-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1456.5","0","0","0","0","0","7979.9"
"NIFTY","28-Apr-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1583.9","0","0","0","0","0","7847.25"
"NIFTY","29-Apr-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1564.25","0","0","0","0","0","7849.8"
"NIFTY","02-May-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1587.9","0","0","0","0","0","7805.9"
"NIFTY","03-May-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1625.9","0","0","0","0","0","7747"
"NIFTY","04-May-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1646.55","0","0","0","0","0","7706.55"
"NIFTY","05-May-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1617.05","0","0","0","0","0","7735.5"
"NIFTY","06-May-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1608.8","0","0","0","0","0","7733.45"
"NIFTY","09-May-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1541.05","0","0","0","0","0","7866.05"
"NIFTY","10-May-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1511.85","0","0","0","0","0","7887.8"
"NIFTY","11-May-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1532.45","0","0","0","0","0","7848.85"
"NIFTY","12-May-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1484.2","0","0","0","0","0","7900.4"
"NIFTY","13-May-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1557.3","0","0","0","0","0","7814.9"
"NIFTY","16-May-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1515.8","0","0","0","0","0","7860.75"
"NIFTY","17-May-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1481.95","0","0","0","0","0","7890.75"
"NIFTY","18-May-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1491.4","0","0","0","0","0","7870.15"
"NIFTY","19-May-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1572.3","0","0","0","0","0","7783.4"
"NIFTY","20-May-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1592.45","0","0","0","0","0","7749.7"
"NIFTY","23-May-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1603.05","0","0","0","0","0","7731.05"
"NIFTY","24-May-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1581.35","0","0","0","0","0","7748.85"
"NIFTY","25-May-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1509.2","0","0","0","0","0","7934.9"
"NIFTY","26-May-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1443.85","0","0","0","0","0","8069.65"
"NIFTY","27-May-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1382.55","0","0","0","0","0","8156.65"
"NIFTY","30-May-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1354.2","0","0","0","0","0","8178.5"
"NIFTY","31-May-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1351.4","0","0","0","0","0","8160.1"
"NIFTY","01-Jun-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1325","0","0","0","0","0","8179.95"
"NIFTY","02-Jun-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1284.55","0","0","0","0","0","8218.95"
"NIFTY","03-Jun-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1268.4","0","0","0","0","0","8220.8"
"NIFTY","06-Jun-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1271.65","0","0","0","0","0","8201.05"
"NIFTY","07-Jun-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1224.7","0","0","0","0","0","8266.45"
"NIFTY","08-Jun-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1208.05","0","0","0","0","0","8273.05"
"NIFTY","09-Jun-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1260.85","0","0","0","0","0","8203.6"
"NIFTY","10-Jun-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1277.65","0","0","0","0","0","8170.05"
"NIFTY","13-Jun-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1324.55","0","0","0","0","0","8110.6"
"NIFTY","14-Jun-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1311.45","0","0","0","0","0","8108.85"
"NIFTY","15-Jun-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1250.75","0","0","0","0","0","8206.6"
"NIFTY","16-Jun-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1302.95","0","0","0","0","0","8140.75"
"NIFTY","17-Jun-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1270.1","0","0","0","0","0","8170.2"
"NIFTY","20-Jun-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1222.3","0","0","0","0","0","8238.5"
"NIFTY","21-Jun-2016","29-Jun-2017","PE","10000","0","0","0","992.95","0","1226.45","0","0","0","0","0","8219.9"
