Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
8-January-2015,61.10,62.50,60.00,61.60,61.424115531218124228,18627,314,1144147.00,13499,72.47,2.50,0.50
7-January-2015,60.15,60.45,59.40,59.50,59.741681574239713774,8385,144,500934.00,6320,75.37,1.05,-0.65
6-January-2015,62.00,62.35,59.70,60.05,60.497922071379996473,39703,531,2401949.00,27863,70.18,2.65,-1.95
5-January-2015,63.00,63.60,61.50,61.95,61.987050475083189672,49886,792,3092286.00,36661,73.49,2.10,-1.05
2-January-2015,63.00,64.10,62.00,62.40,62.997112444796738761,52986,866,3337965.00,32042,60.47,2.10,-0.60
1-January-2015,62.70,62.90,61.50,62.35,62.184210526315789473,21850,415,1358725.00,13798,63.15,1.40,-0.35
31-December-2014,60.00,62.50,60.00,62.10,61.796310530361260568,84565,1273,5225805.00,54723,64.71,2.50,2.10
30-December-2014,57.60,61.85,57.60,59.50,59.932768468324443733,68807,1239,4123794.00,22586,32.83,4.25,1.90
29-December-2014,57.50,58.85,57.00,57.50,57.625219820006206682,19334,294,1114126.00,15698,81.19,1.85,0.00
26-December-2014,59.95,60.00,57.50,57.75,58.730953139942620337,15685,317,921195.00,11601,73.96,2.50,-2.20
24-December-2014,59.15,61.20,58.60,59.20,59.776697001342682381,67030,1231,4006832.00,39760,59.32,2.60,0.05
23-December-2014,57.60,62.90,57.60,58.20,59.986581161146767565,190553,2730,11430623.00,89362,46.90,5.30,0.60
22-December-2014,56.25,57.45,54.00,55.10,55.671574243813015582,17456,404,971803.00,10349,59.29,3.45,-1.15
19-December-2014,54.00,59.00,54.00,55.40,54.911696515574073451,29761,288,1634227.00,25011,84.04,5.00,1.40
18-December-2014,56.00,57.20,54.15,56.10,56.113188307273963290,26478,506,1485765.00,18289,69.07,3.05,0.10
17-December-2014,54.00,55.20,50.55,54.05,53.106557377049180327,13054,326,693253.00,5877,45.02,4.65,0.05
16-December-2014,56.60,56.65,53.25,53.85,55.203223640026863666,52115,716,2876916.00,30836,59.17,3.40,-2.75
15-December-2014,56.50,59.70,55.80,58.20,56.833077920546976305,16966,275,964230.00,9482,55.89,3.90,1.70
12-December-2014,59.85,60.00,56.80,57.20,57.995384270669952946,22315,281,1294167.00,16632,74.53,3.20,-2.65
